Suburb,Longitude,Latitude,Area
Emerald,145.4364724,-37.94606076,63.37567081
Endeavour Hills,145.2560668,-37.96977772,19.26643392
Epping,145.0264519,-37.63907386,27.8060917
Essendon,144.9109678,-37.74983074,7.794698992
Essendon Fields,144.9004307,-37.72690516,4.262113662
Essendon North,144.9011683,-37.73839573,0.948539565
Essendon West,144.8851548,-37.75403988,1.299705781
Eumemmerring,145.2482726,-37.99779901,1.289275861
Eynesbury,144.530941,-37.75508942,87.81723699
Fairfield,145.0158219,-37.78449129,4.489432707
Fawkner,144.9696009,-37.7051877,6.396527183
Ferntree Gully,145.2804945,-37.88427327,17.46719319
Ferny Creek,145.3350881,-37.8752143,6.633647656
Fingal,144.8499448,-38.41400162,27.26643296
Fitzroy,144.9791327,-37.80100966,1.7500154
Fitzroy North,144.9843175,-37.7840578,3.168220359
Flemington,144.9193935,-37.78673154,3.62393009
Flinders,144.9782771,-38.45837683,70.40974638
Footscray,144.8973521,-37.7981502,6.304162462
Forest Hill,145.1710457,-37.83987942,5.163338848
Frankston,145.145674,-38.14813777,25.05772951
Frankston North,145.163835,-38.1239211,6.503710771
Frankston South,145.1294525,-38.17642154,18.55950707
Gardenvale,145.00906,-37.89810599,0.337612699
Gembrook,145.6335951,-37.9452765,264.1099482
Gisborne,144.5689648,-37.51122597,121.7245089
Gisborne South,144.6242544,-37.54876158,22.42301452
Gladstone Park,144.8945003,-37.68991136,4.858945734
Gladysdale,145.6424635,-37.8390244,30.37748633
Glen Huntly,145.0413402,-37.89237316,1.132529309
Glen Iris,145.0645992,-37.85579314,10.87608174
Glen Waverley,145.1681804,-37.88161401,21.32203262
Glenroy,144.927355,-37.70284754,11.19911535
Goldie,144.8216276,-37.30805083,126.6016795
Gowanbrae,144.8974111,-37.70297493,1.916902987
Greendale,144.2962572,-37.56401933,26.02317117
Greensborough,145.10733,-37.69880969,12.79793163
Greenvale,144.8732616,-37.64632419,22.97806199
Gruyere,145.4654998,-37.73011495,69.22432826
Guys Hill,145.3906077,-38.01425974,5.226860372
