,Suburb,Longitude,Latitude,Closest Shopping Mall,Distance to Shopping Mall,Closest Museum,Distance to Museum,Closest Zoo,Distance to Zoo
80,burwood,145.1113815,-37.84955131,Burwood Village,1.530696691428143,,,,
81,burwood east,145.150426,-37.85360796,Burwood One Shopping Centre,0.09655877708526427,,,Chesterfield Farm,7.69491903119312
82,cairnlea,144.7878556,-37.75931183,Cairnlea Town Centre,0.22626196624351325,,,,
83,calder park,144.76112849999998,-37.67626449,Watergardens Shopping Center,2.868961864771713,,,,
84,camberwell,145.074021,-37.83844443,Maling Rd Shopping Village,1.6369887751776095,National Sports Museum,8.185091153129914,,
85,campbellfield,144.9595282,-37.66416091,Campbellfield Plaza,2.7233623503384337,,,,
86,cannons creek,145.31122299999998,-38.21141603,,,,,Moonlit Sanctuary,5.267671221385653
87,canterbury,145.075725,-37.8242982,Maling Rd Shopping Village,0.4906336337821253,,,,
88,cape schanck,144.8908892,-38.46660994,,,,,,
89,cardinia,145.42026030000002,-38.12494385,Lakeside Square,6.047615356488287,,,,
90,carlsruhe,144.5275384,-37.27213625,,,,,,
91,carlton,144.9683986,-37.80042084,Lygon Court,0.26437201499612684,Melbourne Museum,0.4473184232425748,Melbourne Zoo,2.2483677494908876
92,carlton north,144.9684834,-37.78660249,The Hive,1.2747645578985922,Melbourne Museum,1.8951717911749508,Melbourne Zoo,1.4195413797047187
93,carnegie,145.05589740000002,-37.89337797,Carnegie Central Shopping Centre,1.0085053207518093,,,,
94,caroline springs,144.7371786,-37.7346079,Caroline Centre Central,0.45645898730880125,,,,
95,carrum,145.12796409999999,-38.07678058,Chelsea Beach Arcade,2.8013462138609144,,,,
96,carrum downs,145.17581059999998,-38.09279941,Carrum Downs Regional Shopping Centre,1.3071106563016328,,,,
97,castella,145.41852619999997,-37.52140952,,,Steels Creek Community Hall,8.684961183988975,,
98,catani,145.65187949999998,-38.19460778,,,,,,
99,caulfield,145.0263306,-37.88405501,Caulfield Plaza,1.67465834999851,National Herbarium,7.336463213099098,,
100,caulfield east,145.0419658,-37.88130137,Caulfield Plaza,0.5530628729440992,National Herbarium,8.004154021158648,,
101,caulfield north,145.02158290000003,-37.87204613,Malvern Central,1.1292046114235372,National Herbarium,6.029680212965947,,
102,caulfield south,145.0249225,-37.89466808,Caulfield Plaza,2.564781115329343,National Herbarium,8.254028022572772,,
103,chadstone,145.1000823,-37.88234746,Homeplus Homemaker Centre,0.8626936380144268,,,,
104,chelsea,145.1213299,-38.049758399999995,Chelsea Beach Arcade,0.5962089691960031,Australian National Aviation Museum,8.575730374318308,,
105,chelsea heights,145.13422260000002,-38.04090061,Chelsea Beach Arcade,2.0953351454820526,Australian National Aviation Museum,8.094688277260861,,
106,cheltenham,145.06155049999998,-37.96342158,Westfield Southland,0.9036372119445031,Australian National Aviation Museum,3.0256175419237916,,
107,chirnside park,145.3143038,-37.73858041,Chirnside Park Shopping Centre,2.1317919754315118,,,,
108,christmas hills,145.313703,-37.65824619,,,,,,
109,chum creek,145.4874083,-37.60515904,Healesville Walk Shopping Centre,5.976594435235559,,,Healesville Sanctuary,9.381622183736749
110,clarinda,145.10599119999998,-37.94309598,Clarinda Shopping Centre,0.32922212451154526,Australian National Aviation Museum,3.8567402815625083,,
111,clarkefield,144.7937733,-37.46927982,,,,,,
112,clayton,145.13037880000002,-37.91730995,Clayton Shopping Centre,0.5437002175683205,Australian National Aviation Museum,7.337898300134094,Chesterfield Farm,7.270652038466603
113,clayton south,145.1252352,-37.94309534,Clarinda Shopping Centre,1.923174676210871,Australian National Aviation Museum,4.676940125665177,Chesterfield Farm,8.744077015363171
114,clematis,145.41760580000002,-37.9340866,,,,,,
115,clifton hill,144.9975054,-37.79045917,The Hive,1.9771084088111641,Melbourne Museum,2.693950442957291,Melbourne Zoo,4.011505893721642
116,clyde,145.3549685,-38.14904438,Shopping on Clyde,4.5598200445522465,,,,
117,coburg,144.96417350000002,-37.74487967,Foley's Mall,0.2559566125409248,Melbourne Museum,6.538502236524828,Melbourne Zoo,4.516748287693536
118,coburg north,144.9674938,-37.72700611,Lincoln Mills Homemaker Centre,0.934641685827362,Victorian Archives Centre,8.014313835070881,Melbourne Zoo,6.517420718662421
119,cockatoo,145.5127766,-37.92987924,,,,,,
120,cocoroc,144.62146950000002,-37.9686425,Manjina plaza,8.278213491056512,B24 Liberator,6.829085092311115,Werribee Open Range Zoo,6.52270914054454
121,coimadai,144.4866571,-37.59096428,,,,,,
122,coldstream,145.3964784,-37.69860531,Yarra Valley Shopping Centre,7.4585000889907525,,,,
123,collingwood,144.9881228,-37.80208387,The Hive Shopping Centre,1.0857333267272589,Melbourne Museum,1.4549413659596022,,
124,coolaroo,144.9345697,-37.65675531,Centro Meadow Heights,1.3263379741051229,,,,
125,cottles bridge,145.2231859,-37.60709620000001,Diamond Creek Shopping Station,9.30941727515498,,,,
126,craigieburn,144.94016530000002,-37.57273497,Stockland Highlands Shopping Centre,1.8454287246393926,,,,
127,cranbourne,145.27568,-38.10686101,Cranbourne Park Shopping Centre,0.6184159226350397,,,,
128,cranbourne east,145.3422291,-38.10445718,Shopping on Clyde,2.532631179462264,,,,
129,cranbourne north,145.2988136,-38.07747037,Casey Central,1.2171026220624723,,,,
130,cranbourne south,145.2531497,-38.15676939,Langwarrin Plaza,4.308673201953546,,,Moonlit Sanctuary,6.102007528382798
131,cranbourne west,145.24839680000002,-38.10174456,Marriot Waters Shopping Centre,2.679765619040142,,,,
132,cremorne,144.9927935,-37.82907233,Como Centre,1.1872453338658924,National Sports Museum,1.3589513492388654,,
133,crib point,145.2028955,-38.35235496,,,,,,
134,croydon,145.28443869999998,-37.79517002,Croydon Shopping Centre,0.42584548625944624,,,,
135,croydon hills,145.2671004,-37.77592624,McAdam Square Shopping Centre,0.8545464403401425,,,,
136,croydon north,145.2839111,-37.77185475,McAdam Square Shopping Centre,1.8640546735659056,,,,
137,croydon south,145.2736324,-37.81499099,Eastfield Shopping Centre,0.6396368499241389,,,,
138,dales creek,144.3029432,-37.52186707,,,,,,
139,dallas,144.93541509999997,-37.67080621,Dallas Shopping Centre,0.4847948477551876,,,,
140,dandenong,145.2122138,-37.98467956,Dandenong Plaza,0.5997400844603152,,,Chesterfield Farm,9.014056539171413
141,dandenong north,145.214376,-37.95584645,Waverley Gardens Shopping Centre,3.1057313048181663,,,Chesterfield Farm,5.819990153999859
142,dandenong south,145.218859,-38.020703999999995,Australia Post BC,1.1145733063535355,,,,
143,darley,144.40332519999998,-37.64684451,Bacchus Marsh Village Shopping Centre,4.50244429300881,,,,
144,darraweit guim,144.86973799999998,-37.42249403,Wellington Square Shopping Centre,9.713476161948018,,,,
145,deepdene,145.06640869999998,-37.81210294,Maling Rd Shopping Village,1.9267267880458694,National Sports Museum,7.258303534212742,,
146,deer park,144.77128369999997,-37.76866744,Derrimut Village Shopping Centre,1.658528536220931,,,,
147,delahey,144.7772709,-37.719793599999996,Delahey Village,0.7876534236906881,,,,
148,derrimut,144.7760721,-37.79877919,Glengala Village,1.4083969486101358,,,,
149,devon meadows,145.31542549999998,-38.19137841,Shopping on Clyde,8.065037770603722,,,Moonlit Sanctuary,6.071750228419958
150,dewhurst,145.46691819999998,-37.98007193,Lakeside Shopping Centre,9.32986029440017,,,,
151,diamond creek,145.1586468,-37.6669378,Diamond Creek Shopping Station,0.7805619535501869,,,,
152,diggers rest,144.6976281,-37.62077733,Sunbury Square Shopping Centre,5.578984784431722,,,,
153,dingley village,145.1244427,-37.98771711,Direct Factory Outlets (DFO),3.6783425813407513,Australian National Aviation Museum,3.1253397526884568,,
154,dixons creek,145.42815430000002,-37.5868968,,,Steels Creek Community Hall,4.876997734940455,,
155,docklands,144.9402603,-37.81808533,Waterfront City,0.5925998100144498,Fox Classic Car Collection,0.8078695001065801,,
156,don valley,145.59226730000003,-37.73633322,Woori Yallock Shopping Centre,7.2537620468712705,,,Healesville Sanctuary,8.060811383044987
157,doncaster,145.12390019999998,-37.78488759,Westfield Doncaster,0.21750987042253236,,,,
158,doncaster east,145.1639358,-37.77889275,Tunstall Square,1.522109113751059,,,,
159,donvale,145.1914194,-37.78979355,Tunstall Square,1.7248428667607405,,,,
160,doreen,145.1431232,-37.59689133,Diamond Creek Shopping Station,8.672468307335638,,,,
161,doveton,145.2382628,-37.98896076,Autumn Place,0.6395512975678682,,,Chesterfield Farm,9.782609991416292
162,dromana,145.01032659999998,-38.33197437,Dromana Hub Shopping Centre,3.9678703344316624,,,,
163,eaglemont,145.0636743,-37.76376262,Warringal Shopping Centre,0.9769845969398259,Melbourne Museum,9.22421633037354,,
