,Suburb,Longitude,Latitude,Closest Bus Station,Distance to Bus Station,Closest Train Station,Distance to Train Station,Closest Tram Station,Distance to Tram Station
107,chirnside park,145.3143038,-37.73858041,Lilydale Station Bus Terminus,3.501303425553891,Lilydale Station,3.4937768222650964,,
108,christmas hills,145.313703,-37.65824619,,,,,,
109,chum creek,145.4874083,-37.60515904,,,Yarra Valley Railway,5.922999720379224,,
110,clarinda,145.10599119999998,-37.94309598,Clayton Bus Interchange,2.264099462484512,Clayton Station,2.4220880818065242,,
111,clarkefield,144.7937733,-37.46927982,,,Clarkefield Train Station,4.548703168241761,,
112,clayton,145.13037880000002,-37.91730995,Monash University Bus Interchange,0.3969429378526902,Clayton Station,1.1879197385590852,,
113,clayton south,145.1252352,-37.94309534,Clayton Bus Interchange,1.9797727247226224,Westall Station,1.2674436569767729,,
114,clematis,145.41760580000002,-37.9340866,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),6.126654189202212,Menzies Creek Puffing Billy Station,1.8314695876231435,,
115,clifton hill,144.9975054,-37.79045917,Clifton Hill Interchange,0.5702506814831765,Rushall Station,0.9204498947320982,Tram Stop 8 - Melbourne Central Station/State Library,3.654128475491766
116,clyde,145.3549685,-38.14904438,,,Cranbourne Station,8.446241141554044,,
117,coburg,144.96417350000002,-37.74487967,Bus Stop 2463,0.4893850616009226,Coburg Station,0.3097018360413729,Tram Stop 8 - Melbourne Central Station/State Library,7.228920049430004
118,coburg north,144.9674938,-37.72700611,Bus Stop 2463,1.5843115322600825,Merlynston Station,0.8362178757158467,,
119,cockatoo,145.5127766,-37.92987924,,,Gembrook Station (Heritage) - Puffing Billy Railway,3.8151501889709283,,
120,cocoroc,144.62146950000002,-37.9686425,Werribee Station Bus Interchange,8.484754032799579,Werribee Station,8.412308472974473,,
121,coimadai,144.4866571,-37.59096428,,,,,,
122,coldstream,145.3964784,-37.69860531,Lilydale Station Bus Terminus,7.771153865180171,Lilydale Station,7.702929079505044,,
123,collingwood,144.9881228,-37.80208387,Clifton Hill Interchange,1.8544195836086268,Victoria Park Station,0.6461293615492789,Tram Stop 8 - Melbourne Central Station/State Library,2.289330583228273
124,coolaroo,144.9345697,-37.65675531,Broadmeadows Station Bus Interchange,3.206711276575704,Coolaroo Station,0.8819637420704218,,
125,cottles bridge,145.2231859,-37.60709620000001,,,Hurstbridge Railway Sidings,4.520632707160764,,
126,craigieburn,144.94016530000002,-37.57273497,,,Craigieburn Station,3.275354586945795,,
127,cranbourne,145.27568,-38.10686101,Berwick Station Bus Interchange,9.706165295961627,Cranbourne Station,0.8959144223965939,,
128,cranbourne east,145.3422291,-38.10445718,Berwick Station Bus Interchange,7.300856849056448,Cranbourne Station,5.372273256746675,,
129,cranbourne north,145.2988136,-38.07747037,Berwick Station Bus Interchange,5.910554711292734,Cranbourne Station,2.946256447757203,,
130,cranbourne south,145.2531497,-38.15676939,,,Cranbourne Station,6.75648074812347,,
131,cranbourne west,145.24839680000002,-38.10174456,,,Merinda Park Station,2.782988776512681,,
132,cremorne,144.9927935,-37.82907233,Federation Square Bus Depot,2.403110956486513,East Richmond Station,0.487104667733771,Tram Stop 20 @ Park Street,1.9114705924872653
133,crib point,145.2028955,-38.35235496,,,Crib Point Station,1.475783650093618,,
134,croydon,145.28443869999998,-37.79517002,Ringwood Station Bus Interchange,5.346948251124827,Croydon Station,0.3873028344643537,,
135,croydon hills,145.2671004,-37.77592624,Ringwood Station Bus Interchange,5.498104487000365,Croydon Station,2.471880175783376,,
136,croydon north,145.2839111,-37.77185475,Lilydale Station Bus Terminus,5.810550632184668,Croydon Station,2.6645594527993626,,
137,croydon south,145.2736324,-37.81499099,Ringwood Station Bus Interchange,3.903125668543305,Ringwood East Station,2.104155291464865,,
138,dales creek,144.3029432,-37.52186707,,,,,,
139,dallas,144.93541509999997,-37.67080621,Broadmeadows Station Bus Interchange,1.9719207185372278,Upfield Station,1.110224109697251,,
140,dandenong,145.2122138,-37.98467956,Dandenong Station Bus Interchange,0.5925734378018046,Dandenong Station,0.6121773532669836,,
141,dandenong north,145.214376,-37.95584645,Waverley Gardens Bus Interchange,3.212851198825838,Yarraman Station,3.1630358509330683,,
142,dandenong south,145.218859,-38.020703999999995,Dandenong Station Bus Interchange,3.540187213603147,General Motors Station,2.5419603896613174,,
143,darley,144.40332519999998,-37.64684451,Gell St Bus Stop,4.342436485733877,Bacchus Marsh Station,5.463820891282652,,
144,darraweit guim,144.86973799999998,-37.42249403,Taylors Ln / High St Bus Stop,9.556454690068811,,,,
145,deepdene,145.06640869999998,-37.81210294,Doncaster Park And Ride,4.255346701340214,East Camberwell Station,1.5268551117812255,Tram Stop 29,3.9562302928367297
146,deer park,144.77128369999997,-37.76866744,Alfrieda Street Bus Terminus,3.7917398428935956,Deer Park Station,1.0102953767705314,,
147,delahey,144.7772709,-37.719793599999996,Keilor Plains Station,1.8365591941952837,Watergardens Station,2.1056621205497863,,
148,derrimut,144.7760721,-37.79877919,Sunshine Bus Interchange,5.133312748521006,Deer Park Station,2.360476969362634,,
149,devon meadows,145.31542549999998,-38.19137841,Bus Stop 16188 CHISHOLM TAFE,9.16971456195132,,,,
150,dewhurst,145.46691819999998,-37.98007193,,,Lakeside Station - Puffing Billy Railway,5.5292180411862155,,
151,diamond creek,145.1586468,-37.6669378,Main Street Bus Stops,6.1331554972135445,Diamond Creek Station,0.7192611791814492,,
152,diggers rest,144.6976281,-37.62077733,,,Sunbury Station,5.334553312724386,,
153,dingley village,145.1244427,-37.98771711,Clayton Bus Interchange,6.883973197407522,Mordialloc Station,3.8597765380522775,,
154,dixons creek,145.42815430000002,-37.5868968,Bus Stop 23440,8.218895698227135,Yarra Glen Station - Yarra Valley Railway,9.629767332248335,,
155,docklands,144.9402603,-37.81808533,Southern Cross Station Coach Terminal,1.0830299583078418,Bombardier,0.8646388231564419,Tram Stop D18,0.33317616860833277
156,don valley,145.59226730000003,-37.73633322,Coach Parking,9.946946101483631,Yarra Junction Station,4.583460620351108,,
157,doncaster,145.12390019999998,-37.78488759,Westfield Doncaster Bus Interchange,0.1240504881396439,Box Hill Station,3.819587925681882,,
158,doncaster east,145.1639358,-37.77889275,The Pines Bus Interchange,1.8210144951007428,Nunawading Station,4.721542344256014,,
159,donvale,145.1914194,-37.78979355,The Pines Bus Interchange,3.611940504590051,Mitcham Station,3.1414121539909194,,
160,doreen,145.1431232,-37.59689133,,,Mernda Station,3.770335660632064,,
161,doveton,145.2382628,-37.98896076,Dandenong Station Bus Interchange,2.5084817962563957,General Motors Station,2.421497951444248,,
162,dromana,145.01032659999998,-38.33197437,Bus Stop ID 12697 (788),9.870302515517064,,,,
163,eaglemont,145.0636743,-37.76376262,Bulleen Terminus,3.2473835694539135,Heidelberg Station,0.7779704579634228,Tram Stop 29,7.8190340291926415
164,east melbourne,144.9819005,-37.81285604,Federation Square Bus Depot,1.131037802107502,West Richmond Station,0.8745125143446311,Tram Stop 13 - Federation Square (3/3a/5/6/16/64/67/72),1.3759313093933179
165,east warburton,145.7940488,-37.76400141,Coach Parking,8.120135092469383,,,,
166,eden park,145.07168159999998,-37.4976859,,,,,,
167,edithvale,145.1148991,-38.03756035,Kananook Station Bus Stop,9.449468590987191,Edithvale Station,0.5678099937632402,,
168,elsternwick,145.0070035,-37.88583997,SmartBus Terminus Caulfield Station,3.318336300152962,Elsternwick Station,0.5834408221788226,Tram Stop 29,6.6842023966930215
169,eltham,145.15935890000003,-37.71771316,Main Street Bus Stops,4.89577773188574,Eltham Station,1.121694567729148,,
170,eltham north,145.1424324,-37.69773854,Main Street Bus Stops,3.2179552418053308,Eltham Station,1.8116216448006508,,
171,elwood,144.9855043,-37.88095098,SmartBus Terminus Caulfield Station,5.089250062705285,Ripponlea Station,1.0295874469718207,Tram Stop 20 @ Park Street,5.690795700405559
172,emerald,145.4364724,-37.94606076,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),8.214654099430755,Emerald Station - Puffing Billy Railway,1.4196082479716041,,
173,endeavour hills,145.2560668,-37.96977772,Dandenong Station Bus Interchange,4.630397595191164,General Motors Station,4.598417283130407,,
174,epping,145.0264519,-37.63907386,Bus Stop 10838,6.333515362234847,Epping Station,1.539856869318495,,
175,essendon,144.9109678,-37.74983074,Tram Stop 37,1.6314036835973595,Essendon Station,0.8239933458310383,,
176,essendon fields,144.9004307,-37.72690516,Tram Stop 37,4.138089235172003,Oak Park Station,2.107018419489171,,
177,essendon north,144.90116830000002,-37.73839573,Tram Stop 37,3.1079725411598416,Glenbervie Station,1.9807948561393762,,
178,essendon west,144.8851548,-37.75403988,Tram Stop 37,3.6587255078733523,Essendon Station,2.7292293084600643,,
179,eumemmerring,145.2482726,-37.99779901,Dandenong Station Bus Interchange,3.5054599226253433,General Motors Station,1.413786159668709,,
180,eynesbury,144.53094099999998,-37.75508942,Woodgrove Bus Stop,8.309892881932704,Melton Station,6.804504247458186,,
181,fairfield,145.0158219,-37.78449129,Clifton Hill Interchange,1.9183146531606572,Alphington Station,1.5073136372782505,Tram Stop 29,4.856389372759022
182,fawkner,144.96960090000002,-37.7051877,Bus Stop 2463,4.0107115016183,Gowrie Station,1.0593897135818986,,
183,ferntree gully,145.2804945,-37.88427327,Knox City Bus Interchange,4.036295420684893,Ferntree Gully Station,1.329981628751713,,
184,ferny creek,145.3350881,-37.875214299999996,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),4.209772699653131,Upper Ferntree Gully Station,3.09600851606983,,
185,fingal,144.8499448,-38.41400162,Bus Stop ID 12697 (788),7.86538195067412,,,,
186,fitzroy,144.97913269999998,-37.80100966,Federation Square Bus Depot,1.940821077918139,Victoria Park Station,1.364382321238921,Tram Stop 8 - Melbourne Central Station/State Library,1.6568708522246163
187,fitzroy north,144.9843175,-37.7840578,Clifton Hill Interchange,0.893317751744386,Rushall Station,0.7319822423688211,Tram Stop 8 - Melbourne Central Station/State Library,3.3853698617061756
188,flemington,144.9193935,-37.78673154,Moonee Ponds Junction Bus Stop,2.2832095949234277,Kensington Station,1.2554825912069405,Tram Stop D18,4.268153332689061
189,flinders,144.97827709999999,-38.45837683,,,East Creek Miniature Railway,9.607817071593338,,
190,footscray,144.8973521,-37.7981502,Yarraville Bus Depot,2.13442963547228,Footscray Station,0.5383045439890317,Tram Stop D18,4.655526670560896
191,forest hill,145.1710457,-37.83987942,Glen Waverley Bus Interchange,4.440405872722324,Nunawading Station,2.1745507115369715,,
192,frankston,145.14567399999999,-38.14813777,フランクストン駅バスターミナル (Frankston Station Bus Interchange),1.8447531247726765,Leawarra Station,0.691404557987855,,
193,frankston north,145.163835,-38.123921100000004,Kananook Station Bus Stop,2.5322807611154636,Kananook Station,2.5160864808639114,,
194,frankston south,145.12945249999999,-38.17642154,フランクストン駅バスターミナル (Frankston Station Bus Interchange),3.756600926684522,Leawarra Station,2.848440695857644,,
195,gardenvale,145.00906,-37.89810599,SmartBus Terminus Caulfield Station,3.782479396476478,Elsternwick Station,1.700719279512015,Tram Stop 29,7.974448318387721
196,gembrook,145.63359509999998,-37.9452765,Bus Stop 12561 (695/695F/840),7.176846550215325,Gembrook Station,7.4365562224576465,,
197,gisborne,144.5689648,-37.51122597,Bus Stop,3.3637542720659477,Gisborne Station,6.350336691787186,,
198,gisborne south,144.6242544,-37.54876158,,,Sunbury Station,9.763275022371758,,
199,gladstone park,144.8945003,-37.68991136,Broadmeadows Station Bus Interchange,2.297782408318518,Jacana Station,1.9683252912105564,,
200,gladysdale,145.6424635,-37.8390244,Cairncroft Avenue Bus Stop,9.336538395475001,Yarra Junction Station,7.74568258893136,,
201,glen huntly,145.04134019999998,-37.89237316,SmartBus Terminus Caulfield Station,1.6739861418852695,Glenhuntly Station,0.27489875709685213,Tram Stop 29,7.326666237317804
202,glen iris,145.06459919999998,-37.85579314,SmartBus Terminus Caulfield Station,3.0471295309531263,Glen Iris Station,0.6614944782833606,Tram Stop 29,4.632927210284776
203,glen waverley,145.1681804,-37.88161401,Glen Waverley Bus Interchange,0.5295684831323553,Glen Waverley Station,0.5198523265787025,,
204,glenroy,144.927355,-37.70284754,Broadmeadows Station Bus Interchange,2.337868251811541,Glenroy Station,0.9044799302000363,,
205,goldie,144.82162759999997,-37.30805083,,,,,,
206,gowanbrae,144.8974111,-37.70297493,Broadmeadows Station Bus Interchange,2.9338995160100585,Glenroy Station,1.7666045781895052,,
207,greendale,144.29625719999999,-37.56401933,,,,,,
208,greensborough,145.10733000000002,-37.69880969,Main Street Bus Stops,0.543877503460288,Greensborough Station,0.5752192516754245,,
209,greenvale,144.87326159999998,-37.64632419,SkyBus T1 Bus Stop,3.263567717561062,platform 1 coolaroo station,4.931082086514024,,
210,gruyere,145.4654998,-37.73011495,Bus Stop,9.59738334601664,Yarra Valley Railway,9.189020841854152,,
211,guys hill,145.39060769999998,-38.01425974,Main street,4.376227715884949,Beaconsfield Station,4.596363403173043,,
212,hadfield,144.9502945,-37.71013803,Bus Stop 2463,3.770417163217445,Fawkner Railway Station,1.034897891877611,,
213,hallam,145.2686404,-38.00716982,Fountain Gate Bus Interchange,3.3419801291168096,Hallam Station,1.1847001166503288,,
214,hampton,145.00911059999999,-37.93740009,Bus Interchange - Moorabbin Station,2.4542862677821917,Hampton Station,0.6581538333166559,Tram Stop 139,8.021601506070864
215,hampton east,145.03070669999997,-37.93855158,Bus Interchange - Moorabbin Station,0.6592201411568944,Moorabbin Station,0.6808738541383422,Tram Stop 139,8.923762433894481
216,hampton park,145.26860480000002,-38.03855643,Fountain Gate Bus Interchange,3.712390897846597,Hallam Station,2.308575246468692,,
217,harkaway,145.3591401,-37.99438495,Main street,4.248190074345535,Berwick Station,5.176929923027725,,
