,Suburb,Longitude,Latitude,Closest Bus Station,Distance to Bus Station,Closest Train Station,Distance to Train Station,Closest Tram Station,Distance to Tram Station
443,steels creek,145.3809773,-37.57972956,Bus Stop 23440,5.162313355286059,Yarra Glen Station - Yarra Valley Railway,9.105256795952291,,
444,strathewen,145.2809373,-37.53362135,Strathy Bus Stop,2.0345803434020135,,,,
445,strathmore,144.9170691,-37.73329344,Tram Stop 37,2.8599351687991277,Pascoe Vale Station,1.0208423083768967,,
446,strathmore heights,144.89707109999998,-37.71345276,Broadmeadows Station Bus Interchange,3.907375191040094,Glenroy Station,2.039343849200843,,
447,sunbury,144.71494130000002,-37.54707201,,,Sunbury Station,3.7460628187921703,,
448,sunshine,144.8342291,-37.78937046,Sunshine Bus Interchange,0.2604935586570401,Sunshine Station,0.21479790224149867,,
449,sunshine north,144.83621530000002,-37.763981799999996,Sunshine Bus Interchange,2.6220269228005373,Ginifer Station,2.399531045811264,,
450,sunshine west,144.81108830000002,-37.79834231,Sunshine Bus Interchange,2.2467156421706957,Ardeer Station,1.883208192302469,,
451,surrey hills,145.0980832,-37.82688121,Bus Stop Uganda Street,2.168481822001538,Chatham Station,0.8930278495522762,Tram Stop 29,6.356139680683226
452,sydenham,144.7652467,-37.69969552,Keilor Plains Station,4.186793104054433,Watergardens Station,0.7801452287095978,,
453,tarneit,144.6778781,-37.83087749,Werribee Station Bus Interchange,7.68796265646064,Hoppers Crossing Station,6.158576971736989,,
454,taylors hill,144.75284530000002,-37.71522708,Keilor Plains Station,3.961529170770137,Watergardens Station,2.4392487437176955,,
455,taylors lakes,144.7863236,-37.69868636,Keilor Plains Station,3.516377909470214,Watergardens Station,1.1223029805744633,,
456,tecoma,145.3447081,-37.90300351,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),1.1765710037657802,Tecoma Station,0.5952903981351395,,
457,templestowe,145.1486406,-37.75405954,The Pines Bus Interchange,1.9961520241084532,"Diamond Valley ""B"" Signal Box",2.3022243694553453,,
458,templestowe lower,145.112223,-37.76386755,Bulleen Terminus,1.2948800791829334,"Diamond Valley ""B"" Signal Box",4.260515894343906,,
459,the basin,145.3212686,-37.85566263,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),6.692473391342293,Boronia Station,3.2661623510038647,,
460,the patch,145.40220300000001,-37.8918531,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),4.588482188314413,Menzies Creek Puffing Billy Station,3.227864301438186,,
461,thomastown,145.0082605,-37.68395722,Bus Stop 10838,1.2992592183033786,Thomastown Station,0.6733989121334176,,
462,thornbury,145.0050219,-37.75833155,Clifton Hill Interchange,3.2249090180256332,Thornbury Station,0.6771520322961695,Tram Stop 8 - Melbourne Central Station/State Library,6.773515610521156
463,three bridges,145.73168869999998,-37.85458354,,,,,,
464,toolangi,145.506707,-37.50857385,,,,,,
465,toolern vale,144.5943071,-37.61480928,Woodgrove Bus Stop,8.235616761396999,,,,
466,tooradin,145.3827514,-38.20132446,Koo Wee Rup Clock Tower,9.388724638574816,,,,
467,toorak,145.01758049999998,-37.84162266,SmartBus Terminus Caulfield Station,4.561617997889671,Toorak Station,1.064106378349991,Tram Stop 29,1.7287880491724916
468,tootgarook,144.8501496,-38.3776792,Bus Stop 13175,7.608444026116028,,,,
469,tottenham,144.8528875,-37.80461933,Sunshine Bus Interchange,2.615952263284468,Tottenham Station,1.1004898973551829,Tram Stop D18,8.036209387098156
470,travancore,144.935519,-37.78080673,Moonee Ponds Junction Bus Stop,1.8457634144650925,Flemington Bridge Station,0.8839055107991831,Tram Stop 8 - Melbourne Central Station/State Library,4.105204308028349
471,tremont,145.3157487,-37.87883218,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),4.868345214060161,Upper Ferntree Gully Station,1.6887183023652692,,
472,truganina,144.7344877,-37.83192348,Werribee Station Bus Interchange,9.863212682596533,Williams Landing Station,4.362293059512493,,
473,tuerong,145.09671830000002,-38.2986869,,,Hastings station,7.847423586769445,,
474,tullamarine,144.87178490000002,-37.70459822,Long Term Car Park Bus Shelter E,3.044004228732737,Glenroy Station,4.017132564753736,,
475,tyabb,145.18718959999998,-38.26369293,,,Tyabb Station,0.45326695879727713,,
476,upper ferntree gully,145.3098774,-37.89665097,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),4.232882512633965,Upper Ferntree Gully Station,0.49438797280365737,,
477,upper plenty,145.05475800000002,-37.41967834,Taylors Ln / High St Bus Stop,6.8291204459560735,Heathcote Junction Station,5.8852830449107705,,
478,upwey,145.32797119999998,-37.90519866,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),2.438351242215465,Upwey Station,0.34372020418849836,,
479,vermont,145.1993105,-37.83840511,Ringwood Bus Terminal,2.488332194194727,Heatherdale Station,1.126637599110169,,
480,vermont south,145.1878296,-37.85438401,Glen Waverley Bus Interchange,3.5361455021208714,Heatherdale Station,2.9998005161982353,,
481,viewbank,145.09322969999997,-37.73990693,Bulleen Terminus,3.384361933165957,Rosanna Station,2.4152685335876707,,
482,wallan,144.95459169999998,-37.44185678,Ned Kelly Junction,6.969465096539995,,,,
483,wandin east,145.45487769999997,-37.81230725,Bus Stop 8922 - Five Ways,7.786916529070163,,,,
484,wandin north,145.4262908,-37.78059771,Lilydale Station Bus Terminus,7.481812370515052,Lilydale Station,7.473886534015246,,
485,wandong,144.9786573,-37.35716213,,,Wandong Station,4.258445949240316,,
486,wantirna,145.2259658,-37.85232581,Ringwood Bus Terminal,2.060159642081439,Heatherdale Station,2.3416337444401703,,
487,wantirna south,145.2215305,-37.87406328,Knox City Bus Interchange,1.6081521448364642,Heatherdale Station,4.456338249639817,,
488,warburton,145.7194347,-37.78082306,Coach Parking,3.906452118133117,,,,
489,warneet,145.3117368,-38.22130729,,,,,,
490,warrandyte,145.2091016,-37.74783013,The Pines Bus Interchange,3.9572043366452956,"Diamond Valley ""B"" Signal Box",6.074772270694149,,
491,warrandyte south,145.2440678,-37.75960637,Ringwood Station Bus Interchange,6.322499191189755,Croydon Station,5.107835073669063,,
492,warranwood,145.250079,-37.77251619,Ringwood Station Bus Interchange,5.094331481274306,Croydon Station,3.6865839388375132,,
493,waterways,145.13048510000002,-38.01476439,Dandenong Station Bus Interchange,7.497149642185305,Aspendale Station,2.846762059463855,,
494,watsonia,145.0836607,-37.71044027,Main Street Bus Stops,2.167077231695023,Watsonia Station,0.07923208404636482,,
495,watsonia north,145.084885,-37.69601905,Main Street Bus Stops,2.1051438034182377,Watsonia Station,1.6834916031049247,,
496,wattle glen,145.191528,-37.66999571,Main Street Bus Stops,8.363084068794695,Wattle Glen Station,1.0720824455432667,,
497,werribee,144.6655946,-37.89624346,Werribee Station Bus Interchange,0.5181772613045424,Werribee Station,0.5505832512069702,,
498,werribee south,144.69769019999998,-37.936383299999996,Werribee Station Bus Interchange,5.293933340064557,Werribee Station,5.200009562923529,,
499,wesburn,145.6970762,-37.69007646,Coach Parking,6.434272054320625,,,,
500,west footscray,144.8710051,-37.80055536,Yarraville Bus Depot,2.3677547123460934,Tottenham Station,0.6867034763419062,Tram Stop D18,6.630339930239484
501,west melbourne,144.92520290000002,-37.80935015,Southern Cross Station Coach Terminal,2.5107968912426863,South Kensington Station,1.087012437432419,Tram Stop D18,1.9402480367041623
502,westmeadows,144.89408390000003,-37.67510597,Broadmeadows Station Bus Interchange,2.359824726784204,Broadmeadows Station,2.4150175963204723,,
503,wheelers hill,145.18684330000002,-37.90760877,Waverley Gardens Bus Interchange,3.1216910487583007,Glen Waverley Station,3.762060810642932,,
504,whittlesea,145.13224430000002,-37.46046556,,,,,,
505,wildwood,144.8078271,-37.54725977,Sunbury Bus Terminal,7.8289003235659695,Sunbury Station,7.898729051215766,,
506,williams landing,144.74945269999998,-37.86180275,Werribee Station Bus Interchange,8.824977799274322,Williams Landing Station,0.9428321839400485,,
507,williamstown,144.8920898,-37.86157992,Newport Interchange,2.2794749108687844,Williamstown Beach Station,0.33180491499582443,Tram Stop D18,6.296752477133045
508,williamstown north,144.8670081,-37.85307815,Newport Interchange,1.7909975611104074,Newport Station,1.8435905691876449,Tram Stop D18,7.497607558204286
509,willowmavin,144.887584,-37.22408888,,,,,,
510,windsor,144.9921845,-37.85447083,Federation Square Bus Depot,4.591079826849527,Windsor Station,0.17453730304958318,Tram Stop 20 @ Park Street,3.1976622425099785
511,wollert,145.0009082,-37.59659678,,,Craigieburn Station,5.162307812536988,,
512,wonga park,145.2697986,-37.73568023,Lilydale Station Bus Terminus,7.184442605776316,Mooroolbark Station,6.613429544274324,,
513,woodend,144.52637140000002,-37.36235872,,,Woodend Train Station,0.3542549307599335,,
514,woodend north,144.528661,-37.31580803,,,Woodend Train Station,4.818073310043689,,
515,woodstock,145.0290999,-37.54255029,,,Donnybrook Station,5.211894610191327,,
516,woori yallock,145.5365847,-37.78797777,Cairncroft Avenue Bus Stop,2.6284326744975357,Yarra Junction Station,5.950500272976754,,
517,wyndham vale,144.5409938,-37.84152825,Bus Stop #50261,6.88474237272345,Wyndham Vale Station,6.883089666068452,,
518,yallambie,145.09350569999998,-37.72515069,Main Street Bus Stops,2.6520120357591828,Watsonia Station,1.7820555402092453,,
519,yan yean,145.12857,-37.54603601,,,Mernda Station,6.707244931363628,,
520,yannathan,145.6438841,-38.22526288,,,,,,
521,yarra glen,145.381526,-37.64682216,,,Tarrawarra Station - Yarra Valley Railway,4.105063443210608,,
522,yarra junction,145.626452,-37.79614994,Coach Parking,8.703684957741656,Yarra Junction Station,3.0016665498843444,,
523,yarrambat,145.13484230000003,-37.63753591,Main Street Bus Stops,7.7499040353674555,Diamond Creek Station,4.482198692101433,,
524,yarraville,144.88184760000001,-37.8180019,Yarraville Bus Depot,0.6757355381539054,Yarraville Station,0.7681670570529879,Tram Stop D18,5.291257039498064
525,yellingbo,145.5290878,-37.84600952,Bus Stop 14559,9.117679623074242,Gembrook Puffing Billy Station,9.747258809915689,,
526,yuroke,144.8798729,-37.58362055,SkyBus T1 Bus Stop,9.886990334271625,Craigieburn Station,5.932308767303932,,
